0,1,2,3,4,5,6
datasetId,overall_convertedR,overall_confidence,group1_convertedR,group1_confidence,group2_convertedR,group2_confidence
datasetA_ranks_pearson,1.0,"(1.0, 1.0)",1.0,"(1.0, 1.0)",1.0,"(1.0, 1.0)"
datasetA_ranks_spearman,1.0,"(1.0, 1.0)",1.0,"(1.0, 1.0)",1.0,"(1.0, 1.0)"
datasetA_sliders_pearson,-0.928154081046,"(-0.95831892802560281, -0.87752405795422161)",-0.941957952006,"(-0.97350083075272087, -0.87524205827567558)",-0.90863124739,"(-0.95789277608377554, -0.80740736534278179)"
datasetA_sliders_spearman,-1.0,"(-1.0, -1.0)",-1.0,"(-1.0, -1.0)",-1.0,"(-1.0, -1.0)"
datasetB_ranks_pearson,0.895523859566,"(0.82399817378627793, 0.93895491999852931)",0.9371219656,"(0.86523315011858626, 0.97125405237495188)",0.828837414927,"(0.65518362591561641, 0.91930087249602521)"
datasetB_ranks_spearman,0.895523859566,"(0.82399817378627793, 0.93895491999852931)",0.9371219656,"(0.86523315011858626, 0.97125405237495188)",0.828837414927,"(0.65518362591561641, 0.91930087249602521)"
datasetB_sliders_pearson,-0.90005394598,"(-0.94165979524673893, -0.83135368454731751)",-0.938402867327,"(-0.97184974642156119, -0.86787863047734382)",-0.839803022828,"(-0.92470949381132295, -0.67529921771425494)"
datasetB_sliders_spearman,-0.890905387623,"(-0.9361917320989801, -0.81652388837882184)",-0.941723379367,"(-0.97339198966204665, -0.87475524765549784)",-0.800330285936,"(-0.90507843100837926, -0.60401671174434746)"
datasetC_ranks_pearson,0.878977384012,"(0.79733492794874516, 0.92902933010802558)",0.908575297685,"(0.80729568938384932, 0.95786632579305131)",0.840597699315,"(0.67676656567229299, 0.92510012841455314)"
datasetC_ranks_spearman,0.878977384012,"(0.79733492794874516, 0.92902933010802558)",0.908575297685,"(0.80729568938384932, 0.95786632579305131)",0.840597699315,"(0.67676656567229299, 0.92510012841455314)"
datasetC_sliders_pearson,-0.862239777473,"(-0.91891526091296505, -0.77068406925402733)",-0.912217427711,"(-0.95958640469893686, -0.81458056774656629)",-0.786977916498,"(-0.89833525059926211, -0.58059469238975481)"
datasetC_sliders_spearman,-1.0,"(-1.0, -1.0)",-0.911684427399,"(-0.95933490404304411, -0.81351254925815375)",-1.0,"(-1.0, -1.0)"
datasetD_ranks_pearson,0.82435197774,"(0.71151669663902772, 0.89574209901193325)",0.925166858851,"(0.8407334868846954, 0.96567353909522646)",0.614888700107,"(0.30648479594897737, 0.80646268936236309)"
datasetD_ranks_spearman,0.82435197774,"(0.71151669663902772, 0.89574209901193325)",0.925166858851,"(0.8407334868846954, 0.96567353909522646)",0.614888700107,"(0.30648479594897737, 0.80646268936236309)"
datasetD_sliders_pearson,-0.768665589422,"(-0.8609639079970044, -0.62736447708689858)",-0.895488284454,"(-0.95165636914845764, -0.78137169851537158)",-0.526398489555,"(-0.75532246237696365, -0.18298241904368831)"
datasetD_sliders_spearman,-0.767680542546,"(-0.86034084357686647, -0.6259050167298239)",-0.89878606629,"(-0.95322554844720198, -0.78786734801231262)",-0.510527774223,"(-0.74584581555469098, -0.16192218687209445)"
