datasetId,table_convertedR,table_confidence,vis_convertedR,vis_confidence,overall_convertedR,overall_confidence
ranks_dataset,0.859077204555,"(0.7656841093532647, 0.9169957986820686)",0.896226619573,"(0.8251376689394011, 0.93937488404703851)",0.836910010458,"(0.73095221944909716, 0.90346614050444607)"
sliders_dataset,-0.724523337963,"(-0.83276837550350469, -0.56292278404218232)",-0.753093588294,"(-0.85108173992358016, -0.6044083690958435)",-0.754470400031,"(-0.85195828711015198, -0.60642815132839822)"
